,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(0,)",[1. 1. 1. 1.],1.0,"('end_date',)",0.0,0.0,0.0
2,"(0, 1)",[1. 1. 1. 1.],1.0,"('end_date', 'monthly_charges')",0.0,0.0,0.0
3,"(0, 1, 2)",[1. 1. 1. 1.],1.0,"('end_date', 'monthly_charges', 'total_charges')",8.898333896812759e-17,5.551115123125783e-17,3.204937810639273e-17
4,"(0, 1, 2, 3)",[1. 1. 1. 1.],1.0,"('end_date', 'monthly_charges', 'total_charges', 'senior_citizen')",0.0,0.0,0.0
5,"(0, 1, 2, 3, 4)",[1. 1. 1. 1.],1.0,"('end_date', 'monthly_charges', 'total_charges', 'senior_citizen', 'customer_id_0562-HKHML')",0.0,0.0,0.0
6,"(0, 1, 2, 3, 4, 5)",[1. 1. 1. 1.],1.0,"('end_date', 'monthly_charges', 'total_charges', 'senior_citizen', 'customer_id_0562-HKHML', 'customer_id_0795-LAFGP')",0.0,0.0,0.0
7,"(0, 1, 2, 3, 4, 5, 8)",[1. 1. 1. 1.],1.0,"('end_date', 'monthly_charges', 'total_charges', 'senior_citizen', 'customer_id_0562-HKHML', 'customer_id_0795-LAFGP', 'customer_id_2729-VNVAP')",0.0,0.0,0.0
8,"(0, 1, 2, 3, 4, 5, 8, 9)",[1. 1. 1. 1.],1.0,"('end_date', 'monthly_charges', 'total_charges', 'senior_citizen', 'customer_id_0562-HKHML', 'customer_id_0795-LAFGP', 'customer_id_2729-VNVAP', 'customer_id_2884-GBPFB')",0.0,0.0,0.0
9,"(0, 1, 2, 3, 4, 5, 6, 8, 9)",[1. 1. 1. 1.],1.0,"('end_date', 'monthly_charges', 'total_charges', 'senior_citizen', 'customer_id_0562-HKHML', 'customer_id_0795-LAFGP', 'customer_id_1929-ZCBHE', 'customer_id_2729-VNVAP', 'customer_id_2884-GBPFB')",8.898333896812759e-17,5.551115123125783e-17,3.204937810639273e-17
10,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",[1. 1. 1. 1.],1.0,"('end_date', 'monthly_charges', 'total_charges', 'senior_citizen', 'customer_id_0562-HKHML', 'customer_id_0795-LAFGP', 'customer_id_1929-ZCBHE', 'customer_id_2266-SJNAT', 'customer_id_2729-VNVAP', 'customer_id_2884-GBPFB')",0.0,0.0,0.0
